# Matter power spectrum P(k) at redshift z=1
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054685254309e-05       1.895321124164e+01 
       1.117179284516e-05       2.003226895539e+01 
       1.183376318815e-05       2.117276321125e+01 
       1.253495773991e-05       2.237818110312e+01 
       1.327770068094e-05       2.365223561549e+01 
       1.406445390808e-05       2.499881324162e+01 
       1.489782519471e-05       2.642205885849e+01 
       1.578057683454e-05       2.792633670640e+01 
       1.671563479743e-05       2.951624809057e+01 
       1.770609842788e-05       3.119667869945e+01 
       1.875525071809e-05       3.297277497168e+01 
       1.986656918977e-05       3.484998350672e+01 
       2.104373742076e-05       3.683406159328e+01 
       2.229065725459e-05       3.893109115492e+01 
       2.361146173358e-05       4.114750325129e+01 
       2.501052879817e-05       4.349009207745e+01 
       2.649249579812e-05       4.596603996679e+01 
       2.806227486340e-05       4.858293611813e+01 
       2.972506918601e-05       5.134880531462e+01 
       3.148639026643e-05       5.427211865604e+01 
       3.335207618210e-05       5.736184494469e+01 
       3.532831093829e-05       6.062744880662e+01 
       3.742164496560e-05       6.407893905805e+01 
       3.963901683208e-05       6.772689329812e+01 
       4.198777624174e-05       7.158248876681e+01 
       4.447570839598e-05       7.565753806581e+01 
       4.711105979834e-05       7.996452443371e+01 
       4.990256558844e-05       8.451664198335e+01 
       5.285947849546e-05       8.932782994931e+01 
       5.599159950724e-05       9.441282150443e+01 
       5.930931035668e-05       9.978718356678e+01 
       6.282360793301e-05       1.054673667066e+02 
       6.654614073212e-05       1.114707518990e+02 
       7.048924746667e-05       1.178157061634e+02 
       7.466599796401e-05       1.245216347210e+02 
       7.909023648746e-05       1.316090396550e+02 
       8.377662762449e-05       1.390995816514e+02 
       8.874070489404e-05       1.470161438994e+02 
       9.399892223387e-05       1.553828997118e+02 
       9.956870853887e-05       1.642253835435e+02 
       1.054685254309e-04       1.735705662513e+02 
       1.117179284516e-04       1.834469324844e+02 
       1.183376318815e-04       1.938845634019e+02 
       1.253495773991e-04       2.049152245118e+02 
       1.327770068094e-04       2.165724544766e+02 
       1.406445390808e-04       2.288916590272e+02 
       1.489782519471e-04       2.419102129309e+02 
       1.578057683454e-04       2.556675604034e+02 
       1.671563479743e-04       2.702053227925e+02 
       1.770609842788e-04       2.855674123187e+02 
       1.875525071809e-04       3.018001455094e+02 
       1.986656918977e-04       3.189523651707e+02 
       2.104373742076e-04       3.370755636357e+02 
       2.229065725459e-04       3.562240112768e+02 
       2.361146173358e-04       3.764548861991e+02 
       2.501052879817e-04       3.978284092367e+02 
       2.649249579812e-04       4.204079795069e+02 
       2.806227486340e-04       4.442603149712e+02 
       2.972506918601e-04       4.694555886200e+02 
       3.148639026643e-04       4.960675700583e+02 
       3.335207618210e-04       5.241737629057e+02 
       3.532831093829e-04       5.538555407418e+02 
       3.742164496560e-04       5.851982845787e+02 
