# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -8.029920299817e-04      -6.024201827950e-04      -6.024202069046e-04      -8.029830896187e-04      -6.025379778313e-04       5.699624343778e-01       5.696170820784e-01      -6.494836633009e-11      -3.432085573319e-15      -6.701667745080e-11      -5.203331821667e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -9.009395543631e-04      -6.759264346700e-04      -6.759264650220e-04      -9.009282994109e-04      -6.760585864644e-04       5.699622943418e-01       5.696169601708e-01      -8.176304764783e-11      -4.320704347841e-15      -8.436677806345e-11      -6.550437821968e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.010830207840e-03      -7.584018410543e-04      -7.584018792649e-04      -1.010816039162e-03      -7.585500971614e-04       5.699621915250e-01       5.696168776452e-01      -1.029306262194e-10      -5.439370494955e-15      -1.062083501741e-10      -8.246274681893e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.134118853710e-03      -8.509406060909e-04      -8.509406541943e-04      -1.134101017149e-03      -8.511069261621e-04       5.699619831153e-01       5.696166920234e-01      -1.295778086030e-10      -6.847614479683e-15      -1.337039453500e-10      -1.038110711748e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.272438004439e-03      -9.547709618323e-04      -9.547710223908e-04      -1.272415550242e-03      -9.549575433138e-04       5.699618844528e-01       5.696166189508e-01      -1.631228555322e-10      -8.620537782874e-15      -1.683170616942e-10      -1.306856366607e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -1.427617665655e-03      -1.071270256326e-03      -1.071270332564e-03      -1.427589398763e-03      -1.071479562967e-03       5.699616324437e-01       5.696163956559e-01      -2.053511475436e-10      -1.085244402272e-14      -2.118897537173e-10      -1.645167342745e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -1.601711269748e-03      -1.201984661525e-03      -1.201984757501e-03      -1.601675685801e-03      -1.202219455571e-03       5.699614219724e-01       5.696162173511e-01      -2.585100170362e-10      -1.366205865748e-14      -2.667409072564e-10      -2.071048028591e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -1.797021244169e-03      -1.348648673037e-03      -1.348648793862e-03      -1.796976448918e-03      -1.348912051023e-03       5.699612391415e-01       5.696160706221e-01      -3.254281566225e-10      -1.719900282939e-14      -3.357892962791e-10      -2.607160689649e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -2.016129161108e-03      -1.513208132146e-03      -1.513208284252e-03      -2.016072770871e-03      -1.513503564907e-03       5.699609570744e-01       5.696158290560e-01      -4.096662857156e-10      -2.165152511177e-14      -4.227087620498e-10      -3.282031263205e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -2.261930568558e-03      -1.697846861474e-03      -1.697847052961e-03      -2.261859582449e-03      -1.698178239037e-03       5.699606927783e-01       5.696156102302e-01      -5.157060158587e-10      -2.725721378041e-14      -5.321236223407e-10      -4.131565276681e-13       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -2.537671502790e-03      -1.905014697080e-03      -1.905014938143e-03      -2.537582143434e-03      -1.905386378588e-03       5.699603690029e-01       5.696153374552e-01      -6.491884471703e-10      -3.431361245926e-14      -6.698542611816e-10      -5.200954344714e-13       3.593101246184e+04       3.492835933884e+04 
