# Matter power spectrum P(k) at redshift z=0.6
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054685254309e-05       2.726362373585e+01 
       1.117179284516e-05       2.881581731778e+01 
       1.183376318815e-05       3.045638219581e+01 
       1.253495773991e-05       3.219034122826e+01 
       1.327770068094e-05       3.402302652967e+01 
       1.406445390808e-05       3.596004009341e+01 
       1.489782519471e-05       3.800733526475e+01 
       1.578057683454e-05       4.017119153859e+01 
       1.671563479743e-05       4.245823009041e+01 
       1.770609842788e-05       4.487547592560e+01 
       1.875525071809e-05       4.743033422568e+01 
       1.986656918977e-05       5.013064013391e+01 
       2.104373742076e-05       5.298467424295e+01 
       2.229065725459e-05       5.600118359160e+01 
       2.361146173358e-05       5.918942017004e+01 
       2.501052879817e-05       6.255916003482e+01 
       2.649249579812e-05       6.612072968709e+01 
       2.806227486340e-05       6.988504834602e+01 
       2.972506918601e-05       7.386365813205e+01 
       3.148639026643e-05       7.806874770040e+01 
       3.335207618210e-05       8.251321234156e+01 
       3.532831093829e-05       8.721066859334e+01 
       3.742164496560e-05       9.217551657669e+01 
       3.963901683208e-05       9.742296696729e+01 
       4.198777624174e-05       1.029690992554e+02 
       4.447570839598e-05       1.088309045339e+02 
       4.711105979834e-05       1.150263385892e+02 
       4.990256558844e-05       1.215743801515e+02 
       5.285947849546e-05       1.284950780084e+02 
       5.599159950724e-05       1.358096244880e+02 
       5.930931035668e-05       1.435404106355e+02 
       6.282360793301e-05       1.517110972318e+02 
       6.654614073212e-05       1.603466852595e+02 
       7.048924746667e-05       1.694735909827e+02 
       7.466599796401e-05       1.791197245123e+02 
       7.909023648746e-05       1.893145742462e+02 
       8.377662762449e-05       2.000892933048e+02 
       8.874070489404e-05       2.114767924938e+02 
       9.399892223387e-05       2.235118382695e+02 
       9.956870853887e-05       2.362311523161e+02 
       1.054685254309e-04       2.496735223451e+02 
       1.117179284516e-04       2.638799113211e+02 
       1.183376318815e-04       2.788935769736e+02 
       1.253495773991e-04       2.947601978794e+02 
       1.327770068094e-04       3.115279998624e+02 
       1.406445390808e-04       3.292478917657e+02 
       1.489782519471e-04       3.479736105313e+02 
       1.578057683454e-04       3.677618661644e+02 
       1.671563479743e-04       3.886724959587e+02 
       1.770609842788e-04       4.107686251810e+02 
       1.875525071809e-04       4.341168311290e+02 
       1.986656918977e-04       4.587873187794e+02 
       2.104373742076e-04       4.848540943312e+02 
       2.229065725459e-04       5.123951496162e+02 
       2.361146173358e-04       5.414926484190e+02 
       2.501052879817e-04       5.722331177861e+02 
       2.649249579812e-04       6.047076439867e+02 
       2.806227486340e-04       6.390120667839e+02 
       2.972506918601e-04       6.752471836168e+02 
       3.148639026643e-04       7.135189434603e+02 
       3.335207618210e-04       7.539386465332e+02 
       3.532831093829e-04       7.966231386306e+02 
       3.742164496560e-04       8.416950092644e+02 
       3.963901683208e-04       8.892827662268e+02 
       4.198777624174e-04       9.395210219411e+02 
       4.447570839598e-04       9.925506549215e+02 
       4.711105979834e-04       1.048518968882e+03 
       4.990256558844e-04       1.107579832319e+03 
       5.285947849546e-04       1.169893807284e+03 
       5.599159950724e-04       1.235628243143e+03 
       5.930931035668e-04       1.304957385257e+03 
       6.282360793301e-04       1.378062389287e+03 
       6.654614073212e-04       1.455131432132e+03 
       7.048924746667e-04       1.536359632858e+03 
       7.466599796401e-04       1.621949048780e+03 
       7.909023648746e-04       1.712108602566e+03 
       8.377662762449e-04       1.807053895393e+03 
       8.874070489404e-04       1.907007018703e+03 
       9.399892223387e-04       2.012196212844e+03 
       9.956870853887e-04       2.122855428543e+03 
       1.054685254309e-03       2.239223742316e+03 
       1.117179284516e-03       2.361544570099e+03 
       1.183376318815e-03       2.490064753688e+03 
       1.253495773991e-03       2.625033347010e+03 
       1.327770068094e-03       2.766700327860e+03 
