# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.1
# for k=1.05469e-05 to 9.11685 h/Mpc,
# number of wavenumbers equal to 270
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_ur                  14:t_tot              
       1.054685254309e-05      -1.241960525423e-03      -9.319242100378e-04      -9.319242425298e-04      -1.241941781664e-03      -9.320243916748e-04       4.976160874294e-01       4.974534586560e-01      -1.313476062380e-10      -2.333438746789e-15      -1.343390403477e-10      -5.745701745001e-14       3.177967454445e+02       3.358894347847e+02 
       1.117179284516e-05      -1.393419593036e-03      -1.045635999496e-03      -1.045636040401e-03      -1.393395997154e-03      -1.045748381789e-03       4.976159354404e-01       4.974533207802e-01      -1.653499503789e-10      -2.937597343277e-15      -1.691156181753e-10      -7.233107092546e-14       6.899144396176e+02       7.291885047751e+02 
       1.183376318815e-05      -1.563337932884e-03      -1.173222657488e-03      -1.173222708984e-03      -1.563308229091e-03      -1.173348723095e-03       4.976158375512e-01       4.974532387245e-01      -2.081535339366e-10      -3.698143767730e-15      -2.128937566140e-10      -9.105514249501e-14       1.497492131149e+03       1.582696010336e+03 
       1.253495773991e-05      -1.753962347937e-03      -1.316377158648e-03      -1.316377223476e-03      -1.753924955612e-03      -1.316518569573e-03       4.976156358232e-01       4.974530547520e-01      -2.620360460737e-10      -4.655580228849e-15      -2.680029378205e-10      -1.146255816719e-13       3.247560042942e+03       3.431892698945e+03 
       1.327770068094e-05      -1.967812484369e-03      -1.476999146928e-03      -1.476999228541e-03      -1.967765413023e-03      -1.477157766013e-03       4.976155077015e-01       4.974529465748e-01      -3.298643917549e-10      -5.860911178277e-15      -3.373754050869e-10      -1.442965134956e-13       7.014755029599e+03       7.408721799575e+03 
       1.406445390808e-05      -2.207713294770e-03      -1.657219810851e-03      -1.657219913594e-03      -2.207654040138e-03      -1.657397725743e-03       4.976153405819e-01       4.974528018140e-01      -4.152472276233e-10      -7.378288384871e-15      -4.247016897547e-10      -1.816464691442e-13       1.492635580842e+04       1.573525426667e+04 
       1.489782519471e-05      -2.476832541133e-03      -1.859430673826e-03      -1.859430803169e-03      -2.476757950770e-03      -1.859630223799e-03       4.976151017406e-01       4.974525880482e-01      -5.227266065583e-10      -9.288419582111e-15      -5.346271672254e-10      -2.286623163114e-13       3.040683155406e+04       3.189401796377e+04 
       1.578057683454e-05      -2.778721386583e-03      -2.086314871359e-03      -2.086315034189e-03      -2.778627491595e-03      -2.086538677192e-03       4.976149123426e-01       4.974524267955e-01      -6.580190940142e-10      -1.169299959836e-14      -6.729984434492e-10      -2.878447175921e-13       5.558344318377e+04       5.762700047385e+04 
       1.671563479743e-05      -3.117360584940e-03      -2.340882846461e-03      -2.340883051447e-03      -3.117242391353e-03      -2.341133843759e-03       4.976146578787e-01       4.974522038996e-01      -8.283197515016e-10      -1.471999595333e-14      -8.471738660377e-10      -3.623410182260e-13       7.990563980567e+04       8.073771636739e+04 
       1.770609842788e-05      -3.497212590419e-03      -2.626512751044e-03      -2.626513009102e-03      -3.497063811436e-03      -2.626794227424e-03       4.976142825245e-01       4.974518639654e-01      -1.042683615831e-09      -1.853086227830e-14      -1.066414389440e-09      -4.561123118712e-13       6.628702138041e+04       6.333611792259e+04 
       1.875525071809e-05      -3.923277930586e-03      -2.946994391700e-03      -2.946994716567e-03      -3.923090654317e-03      -2.947310028068e-03       4.976139717513e-01       4.974515929268e-01      -1.312506768045e-09      -2.332790985073e-14      -1.342374689652e-09      -5.741435384054e-13       3.593101246184e+04       3.492835933884e+04 
       1.986656918977e-05      -4.401160430654e-03      -3.306580239146e-03      -3.306580648118e-03      -4.400924698528e-03      -3.306934155698e-03       4.976137245382e-01       4.974513903020e-01      -1.652130254118e-09      -2.936661027782e-14      -1.689721523090e-09      -7.227080283328e-13       1.801633028417e+04       1.711274724407e+04 
       2.104373742076e-05      -4.937138966107e-03      -3.710041880988e-03      -3.710042395836e-03      -4.936842249018e-03      -3.710438688288e-03       4.976132759535e-01       4.974509917137e-01      -2.079601437796e-09      -3.696822526272e-14      -2.126911246273e-09      -9.097002056097e-13       9.630087189551e+03       8.971792105808e+03 
       2.229065725459e-05      -5.538246466282e-03      -4.162732582000e-03      -4.162733230125e-03      -5.537872996382e-03      -4.163177437556e-03       4.976127342692e-01       4.974505061080e-01      -2.617629300444e-09      -4.653706932173e-14      -2.677167622100e-09      -1.145053653794e-12       4.333535699870e+03       4.130083441139e+03 
       2.361146173358e-05      -6.212360023456e-03      -4.670659036554e-03      -4.670659852453e-03      -6.211889956298e-03      -4.671157707558e-03       4.976123788670e-01       4.974502136251e-01      -3.294787011616e-09      -5.858200143774e-14      -3.369711757115e-09      -1.441267186548e-12       1.753660821768e+03       1.633103559475e+03 
       2.501052879817e-05      -6.968300355592e-03      -5.240561207552e-03      -5.240562234672e-03      -6.967708714283e-03      -5.241120140267e-03       4.976118067351e-01       4.974497120806e-01      -4.147024360794e-09      -7.374531084689e-14      -4.241308403204e-09      -1.814066661148e-12       5.857944310526e+02       5.327866548303e+02 
       2.649249579812e-05      -7.815940950218e-03      -5.880000799488e-03      -5.880002092484e-03      -7.815196325749e-03      -5.880627195613e-03       4.976111144899e-01       4.974490989816e-01      -5.219572051808e-09      -9.283149346155e-14      -5.338209497531e-09      -2.283236488460e-12       1.100158817768e+02       9.597754355737e+01 
       2.806227486340e-05      -8.766331827579e-03      -6.597462336897e-03      -6.597463964589e-03      -8.765394684904e-03      -6.598164237809e-03       4.976103604940e-01       4.974484337703e-01      -6.569324389846e-09      -1.168563856156e-13      -6.718597952763e-09      -2.873664179042e-12       1.544890283833e+01       1.337777373821e+01 
       2.972506918601e-05      -9.831835552725e-03      -7.402465649893e-03      -7.402467698885e-03      -9.830656171398e-03      -7.403252028990e-03       4.976094815261e-01       4.974476543616e-01      -8.267851319973e-09      -1.470964566529e-13      -8.455658247145e-09      -3.616655513791e-12       1.990011469780e+00       1.714592938845e+00 
       3.148639026643e-05      -1.102627772503e-02      -8.305691810426e-03      -8.305694389771e-03      -1.102479353812e-02      -8.306572674213e-03       4.976087563464e-01       4.974470408553e-01      -1.040516333385e-08      -1.851599585845e-13      -1.064143430636e-08      -4.551583407729e-12      -1.235608942232e+05       5.004868099363e-02 
       3.335207618210e-05      -1.236511455290e-02      -9.319125351958e-03      -9.319128598881e-03      -1.236324687918e-02      -9.320111850136e-03       4.976077768455e-01       4.974461865788e-01      -1.309446119326e-08      -2.330699365599e-13      -1.339167677074e-08      -5.727963555744e-12       7.455958967518e+01      -7.900850190527e+04 
       3.532831093829e-05      -1.386561654939e-02      -1.045621271247e-02      -1.045621679975e-02      -1.386326641136e-02      -1.045731725747e-02       4.976066474829e-01       4.974451976476e-01      -1.647808092916e-08      -2.933725929048e-13      -1.685192773915e-08      -7.208056219108e-12       6.846402171312e-02       7.395205073977e+01 
       3.742164496560e-05      -1.554707240332e-02      -1.173204124892e-02      -1.173204639396e-02      -1.554411537274e-02      -1.173327764473e-02       4.976054197085e-01       4.974441273068e-01      -2.073498151565e-08      -3.692684404873e-13      -2.120516215432e-08      -9.070138400312e-12       0.000000000000e+00       8.088283775289e-02 
       3.963901683208e-05      -1.743101126721e-02      -1.316353859333e-02      -1.316354506979e-02      -1.742729086439e-02      -1.316492217378e-02       4.976039980054e-01       4.974428821183e-01      -2.609010801878e-08      -4.647901498004e-13      -2.668137668985e-08      -1.141260366146e-11       8.484344206271e+01      -1.026974925032e+05 
       4.198777624174e-05      -1.954144796616e-02      -1.476969771048e-02      -1.476970586276e-02      -1.953676746452e-02      -1.477124548615e-02       4.976024018860e-01       4.974414838780e-01      -3.282617724139e-08      -5.850033208835e-13      -3.356961802359e-08      -1.435911179384e-11       1.053000159491e-01       7.767506124067e+01 
       4.447570839598e-05      -2.190514984412e-02      -1.657182861690e-02      -1.657183887858e-02      -2.189926194321e-02      -1.657355943004e-02       4.976006472039e-01       4.974399510152e-01      -4.129842799662e-08      -7.362965806015e-13      -4.223306677251e-08      -1.806504515066e-11       1.367325986073e+04       1.241261441975e-01 
       4.711105979834e-05      -2.455192740569e-02      -1.859384122717e-02      -1.859385414367e-02      -2.454452138536e-02      -1.859577591232e-02       4.975986637731e-01       4.974382161818e-01      -5.195314075979e-08      -9.266780570563e-13      -5.312794213242e-08      -2.272559841815e-11       6.650985454147e+01      -1.385588903593e+04 
       4.990256558844e-05      -2.751494848874e-02      -2.086256217744e-02      -2.086257843522e-02      -2.750563392919e-02      -2.086472372631e-02       4.975964758641e-01       4.974363068533e-01      -6.535079724753e-08      -1.166238515197e-12      -6.682718355456e-08      -2.858591664982e-11       1.668942100220e-01       5.259746356886e+01 
       5.285947849546e-05      -3.083107678877e-02      -2.340809074619e-02      -2.340811120912e-02      -3.081936325086e-02      -2.341050447243e-02       4.975939358390e-01       4.974340789742e-01      -8.219509875732e-08      -1.467682017982e-12      -8.405009382605e-08      -3.595378509358e-11       8.166275341210e+03       1.967708993324e-01 
       5.599159950724e-05      -3.454123301426e-02      -2.626419756674e-02      -2.626422332183e-02      -3.452650454054e-02      -2.626689126581e-02       4.975911672592e-01       4.974316600938e-01      -1.033692863094e-07      -1.846957192749e-12      -1.056994253512e-07      -4.521550425242e-11       2.517085498683e+01       1.665456973935e+02 
       5.930931035668e-05      -3.869077914071e-02      -2.946877312659e-02      -2.946880554179e-02      -3.867226243568e-02      -2.947177722419e-02       4.975880343222e-01       4.974289188485e-01      -1.299815362196e-07      -2.324141429082e-12      -1.329077338802e-07      -5.685574651971e-11       2.655031697220e-01       1.136710654809e+01 
