# power spectrum of hij
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.063511e-19   0.000000e+00   7.057039e-20   6
  2.776802e-02   1.177673e-19   0.000000e+00   1.195773e-20   12
  3.400874e-02   1.398447e-19   3.725290e-10   4.289321e-20   8
  3.926991e-02   4.154388e-20   0.000000e+00   1.079298e-21   6
  4.390509e-02   6.355966e-20   0.000000e+00   1.036714e-20   24
  4.809562e-02   4.094027e-20   7.024475e-10   7.063383e-21   24
  5.553604e-02   2.676610e-20   0.000000e+00   5.200528e-21   12
  5.890486e-02   2.213518e-20   7.947286e-10   2.517670e-21   30
  6.209118e-02   1.554845e-20   0.000000e+00   1.661904e-21   24
  6.512178e-02   9.914106e-21   1.216675e-09   1.158330e-21   24
  6.801748e-02   1.177843e-20   7.450581e-10   2.013494e-21   8
  7.079483e-02   1.420802e-20   9.934107e-10   1.475794e-21   24
  7.346727e-02   9.974103e-21   0.000000e+00   7.298810e-22   48
  7.853982e-02   7.128561e-21   0.000000e+00   1.192422e-21   6
  8.095699e-02   6.450908e-21   1.404895e-09   5.836763e-22   48
  8.330406e-02   9.264904e-21   0.000000e+00   8.733863e-22   36
  8.558678e-02   7.623464e-21   9.934107e-10   6.922849e-22   24
  8.781018e-02   4.359978e-21   0.000000e+00   5.128228e-22   24
  8.997866e-02   4.984161e-21   0.000000e+00   5.206093e-22   48
  9.209610e-02   2.404433e-21   1.404895e-09   1.624770e-22   24
  9.619124e-02   3.618468e-21   1.404895e-09   5.281766e-22   24
  9.817477e-02   2.841874e-21   0.000000e+00   3.254102e-22   30
  1.001190e-01   3.083757e-21   0.000000e+00   2.838491e-22   72
  1.020262e-01   2.961151e-21   1.490116e-09   4.611505e-22   32
  1.057375e-01   2.668882e-21   0.000000e+00   2.174275e-22   72
  1.075451e-01   2.271838e-21   0.000000e+00   2.046473e-22   48
  1.110721e-01   2.156502e-21   0.000000e+00   3.986633e-22   12
  1.127942e-01   1.411433e-21   0.000000e+00   1.172568e-22   48
  1.144905e-01   1.101849e-21   0.000000e+00   1.160891e-22   48
  1.161620e-01   1.369791e-21   1.404895e-09   1.270925e-22   48
  1.178097e-01   1.765175e-21   1.589457e-09   4.291786e-22   30
  1.194348e-01   1.437484e-21   1.404895e-09   2.768267e-22   24
  1.210380e-01   1.366964e-21   2.961779e-09   1.075258e-22   72
  1.241824e-01   1.119213e-21   0.000000e+00   1.401075e-22   24
  1.257251e-01   1.003572e-21   0.000000e+00   7.701117e-23   96
  1.272490e-01   7.908081e-22   0.000000e+00   6.424281e-23   48
  1.287550e-01   9.480910e-22   2.433349e-09   1.314785e-22   24
  1.302436e-01   6.892674e-22   2.433349e-09   1.205085e-22   24
  1.317153e-01   7.828445e-22   0.000000e+00   5.635278e-23   72
  1.331707e-01   6.024272e-22   0.000000e+00   4.677169e-23   48
  1.360350e-01   7.016943e-22   1.490116e-09   1.664634e-22   8
  1.374447e-01   5.487421e-22   1.766064e-09   5.081098e-23   54
  1.388401e-01   5.862835e-22   0.000000e+00   5.283148e-23   84
  1.402216e-01   6.534060e-22   0.000000e+00   7.612303e-23   48
  1.415897e-01   7.629053e-22   1.986821e-09   9.290371e-23   24
