# power spectrum of phi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.710974e-10   0.000000e+00   6.893154e-11   6
  2.776802e-02   6.999810e-11   0.000000e+00   1.396468e-11   12
  3.400874e-02   4.020195e-11   3.725290e-10   8.188273e-12   8
  3.926991e-02   1.103678e-10   0.000000e+00   1.187022e-11   6
  4.390509e-02   6.564858e-11   0.000000e+00   2.091430e-11   24
  4.809562e-02   8.349970e-11   7.024475e-10   1.407991e-11   24
  5.553604e-02   3.196692e-11   0.000000e+00   1.436524e-11   12
  5.890486e-02   3.518398e-11   7.947286e-10   6.439437e-12   30
  6.209118e-02   4.268718e-11   0.000000e+00   9.393324e-12   24
  6.512178e-02   3.713731e-11   1.216675e-09   9.204741e-12   24
  6.801748e-02   4.098985e-11   7.450581e-10   8.281561e-12   8
  7.079483e-02   3.371873e-11   9.934107e-10   4.197121e-12   24
  7.346727e-02   3.031283e-11   0.000000e+00   4.260756e-12   48
  7.853982e-02   3.389690e-11   0.000000e+00   1.489673e-11   6
  8.095699e-02   2.539166e-11   1.404895e-09   3.554179e-12   48
  8.330406e-02   2.263792e-11   0.000000e+00   2.367142e-12   36
  8.558678e-02   3.057886e-11   9.934107e-10   6.397629e-12   24
  8.781018e-02   1.746913e-11   0.000000e+00   2.990070e-12   24
  8.997866e-02   1.491491e-11   0.000000e+00   2.020592e-12   48
  9.209610e-02   2.166800e-11   1.404895e-09   3.077148e-12   24
  9.619124e-02   1.630462e-11   1.404895e-09   2.553516e-12   24
  9.817477e-02   1.075857e-11   0.000000e+00   1.759945e-12   30
  1.001190e-01   1.125866e-11   0.000000e+00   1.231519e-12   72
  1.020262e-01   1.093527e-11   1.490116e-09   2.239999e-12   32
  1.057375e-01   1.349659e-11   0.000000e+00   1.552606e-12   72
  1.075451e-01   8.284573e-12   0.000000e+00   1.210451e-12   48
  1.110721e-01   4.164149e-12   0.000000e+00   1.234575e-12   12
  1.127942e-01   8.191770e-12   0.000000e+00   1.223562e-12   48
  1.144905e-01   7.121193e-12   0.000000e+00   7.000700e-13   48
  1.161620e-01   9.450727e-12   1.404895e-09   1.193443e-12   48
  1.178097e-01   1.122744e-11   1.589457e-09   1.962322e-12   30
  1.194348e-01   1.050454e-11   1.404895e-09   2.358286e-12   24
  1.210380e-01   1.036845e-11   2.961779e-09   1.064088e-12   72
  1.241824e-01   6.143888e-12   0.000000e+00   1.167701e-12   24
  1.257251e-01   8.979148e-12   0.000000e+00   8.742783e-13   96
  1.272490e-01   6.808556e-12   0.000000e+00   9.081224e-13   48
  1.287550e-01   5.573921e-12   2.433349e-09   1.360434e-12   24
  1.302436e-01   4.156766e-12   2.433349e-09   8.552996e-13   24
