# power spectrum of chi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.500500e-20   0.000000e+00   4.626045e-21   6
  2.776802e-02   5.747755e-20   0.000000e+00   1.446193e-20   12
  3.400874e-02   3.330279e-20   3.725290e-10   1.426013e-20   8
  3.926991e-02   1.945221e-20   0.000000e+00   7.380033e-21   6
  4.390509e-02   2.169670e-20   0.000000e+00   4.915112e-21   24
  4.809562e-02   2.577839e-20   7.024475e-10   3.630292e-21   24
  5.553604e-02   2.886932e-20   0.000000e+00   9.742541e-21   12
  5.890486e-02   2.116575e-20   7.947286e-10   3.070668e-21   30
  6.209118e-02   9.787181e-21   0.000000e+00   1.823052e-21   24
  6.512178e-02   1.395663e-20   1.216675e-09   2.923936e-21   24
  6.801748e-02   1.014441e-20   7.450581e-10   2.719168e-21   8
  7.079483e-02   1.034672e-20   9.934107e-10   3.012527e-21   24
  7.346727e-02   1.026241e-20   0.000000e+00   1.580340e-21   48
  7.853982e-02   3.458216e-21   0.000000e+00   8.143823e-22   6
  8.095699e-02   6.799453e-21   0.000000e+00   9.824000e-22   48
  8.330406e-02   6.666994e-21   0.000000e+00   1.306805e-21   36
  8.558678e-02   5.985357e-21   9.934107e-10   9.725677e-22   24
  8.781018e-02   7.865576e-21   0.000000e+00   1.343549e-21   24
  8.997866e-02   6.123122e-21   0.000000e+00   7.589030e-22   48
  9.209610e-02   8.145319e-21   1.404895e-09   1.113592e-21   24
  9.619124e-02   4.394445e-21   1.404895e-09   5.953382e-22   24
  9.817477e-02   3.272473e-21   0.000000e+00   5.398521e-22   30
  1.001190e-01   5.370596e-21   0.000000e+00   6.245019e-22   72
  1.020262e-01   3.375474e-21   1.490116e-09   5.148289e-22   32
  1.057375e-01   3.668681e-21   0.000000e+00   3.873399e-22   72
  1.075451e-01   2.746262e-21   0.000000e+00   4.186948e-22   48
  1.110721e-01   4.244573e-21   0.000000e+00   1.455919e-21   12
  1.127942e-01   2.727518e-21   0.000000e+00   4.001101e-22   48
  1.144905e-01   3.110556e-21   0.000000e+00   4.081702e-22   48
  1.161620e-01   3.333167e-21   1.404895e-09   5.299769e-22   48
  1.178097e-01   3.733614e-21   1.589457e-09   7.717956e-22   30
  1.194348e-01   2.462052e-21   1.404895e-09   3.361902e-22   24
  1.210380e-01   2.660235e-21   2.961779e-09   3.231640e-22   72
  1.241824e-01   2.446559e-21   0.000000e+00   7.079340e-22   24
  1.257251e-01   1.829395e-21   1.404895e-09   1.968311e-22   96
  1.272490e-01   1.866760e-21   0.000000e+00   2.725501e-22   48
  1.287550e-01   1.412700e-21   2.433349e-09   1.659135e-22   24
  1.302436e-01   2.882025e-21   2.433349e-09   4.358428e-22   24
  1.317153e-01   1.763620e-21   0.000000e+00   1.893097e-22   72
  1.331707e-01   1.174096e-21   0.000000e+00   1.653686e-22   48
  1.360350e-01   2.268098e-21   1.490116e-09   5.428641e-22   8
  1.374447e-01   1.825064e-21   1.766064e-09   2.093560e-22   54
  1.388401e-01   1.826983e-21   0.000000e+00   1.727484e-22   84
  1.402216e-01   1.048872e-21   0.000000e+00   1.417000e-22   48
  1.415897e-01   1.097711e-21   1.986821e-09   1.481121e-22   24
  1.429446e-01   1.583431e-21   1.873193e-09   1.916604e-22   72
  1.442869e-01   9.858401e-22   0.000000e+00   1.018351e-22   96
  1.469345e-01   1.348721e-21   0.000000e+00   1.770114e-22   48
  1.482407e-01   7.282219e-22   0.000000e+00   1.131804e-22   48
  1.495354e-01   1.084328e-21   1.986821e-09   1.962022e-22   24
  1.508189e-01   1.117742e-21   0.000000e+00   1.079675e-22   72
  1.533539e-01   9.492386e-22   1.873193e-09   1.570905e-22   72
  1.546058e-01   8.385197e-22   0.000000e+00   9.147632e-23   96
  1.570796e-01   7.089059e-22   0.000000e+00   1.886682e-22   6
  1.583021e-01   8.247271e-22   0.000000e+00   1.007196e-22   96
  1.595151e-01   8.267477e-22   1.986821e-09   9.478857e-23   96
  1.607190e-01   1.204299e-21   0.000000e+00   3.045800e-22   24
