# power spectrum of B
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.134246e-17   0.000000e+00   1.370896e-18   6
  2.776802e-02   2.482315e-17   0.000000e+00   3.877442e-18   12
  3.400874e-02   1.552503e-17   3.725290e-10   3.209105e-18   8
  3.926991e-02   5.108925e-17   0.000000e+00   1.523521e-17   6
  4.390509e-02   4.829120e-17   0.000000e+00   6.288258e-18   24
  4.809562e-02   3.669707e-17   7.024475e-10   8.154222e-18   24
  5.553604e-02   3.600943e-17   0.000000e+00   1.088092e-17   12
  5.890486e-02   3.772661e-17   7.947286e-10   5.366415e-18   30
  6.209118e-02   3.752138e-17   0.000000e+00   4.236440e-18   24
  6.512178e-02   2.996687e-17   1.216675e-09   6.069957e-18   24
  6.801748e-02   2.623684e-17   7.450581e-10   1.235775e-18   8
  7.079483e-02   2.648573e-17   9.934107e-10   3.998320e-18   24
  7.346727e-02   2.674373e-17   0.000000e+00   3.583666e-18   48
  7.853982e-02   3.907200e-17   0.000000e+00   3.515728e-18   6
  8.095699e-02   2.836502e-17   1.404895e-09   2.882217e-18   48
  8.330406e-02   2.293255e-17   0.000000e+00   3.976074e-18   36
  8.558678e-02   2.572430e-17   9.934107e-10   3.535536e-18   24
  8.781018e-02   1.841842e-17   0.000000e+00   1.164009e-18   24
  8.997866e-02   2.107101e-17   0.000000e+00   2.757227e-18   48
  9.209610e-02   1.619250e-17   1.404895e-09   3.244278e-18   24
  9.619124e-02   1.773500e-17   1.404895e-09   2.868135e-18   24
  9.817477e-02   1.880718e-17   0.000000e+00   2.065101e-18   30
  1.001190e-01   1.687362e-17   0.000000e+00   1.761017e-18   72
  1.020262e-01   1.300696e-17   1.490116e-09   1.517678e-18   32
  1.057375e-01   1.549562e-17   0.000000e+00   1.140687e-18   72
  1.075451e-01   1.640194e-17   0.000000e+00   1.743263e-18   48
  1.110721e-01   1.531593e-17   0.000000e+00   3.488082e-18   12
  1.127942e-01   1.659466e-17   0.000000e+00   1.339499e-18   48
  1.144905e-01   1.459863e-17   0.000000e+00   1.827159e-18   48
  1.161620e-01   1.299038e-17   1.404895e-09   1.103083e-18   48
  1.178097e-01   1.576391e-17   1.589457e-09   1.507365e-18   30
  1.194348e-01   1.042270e-17   1.404895e-09   1.301635e-18   24
  1.210380e-01   1.685580e-17   2.961779e-09   1.234145e-18   72
  1.241824e-01   9.240558e-18   0.000000e+00   1.454909e-18   24
  1.257251e-01   1.356844e-17   0.000000e+00   1.149764e-18   96
  1.272490e-01   1.123300e-17   0.000000e+00   1.361932e-18   48
  1.287550e-01   8.698708e-18   2.433349e-09   1.266729e-18   24
  1.302436e-01   1.807038e-17   2.433349e-09   1.587658e-18   24
  1.317153e-01   8.519762e-18   0.000000e+00   6.076506e-19   72
  1.331707e-01   1.063176e-17   0.000000e+00   1.289920e-18   48
  1.360350e-01   6.408093e-18   1.490116e-09   1.726273e-18   8
  1.374447e-01   1.128173e-17   1.766064e-09   1.157079e-18   54
  1.388401e-01   1.007335e-17   0.000000e+00   7.925894e-19   84
  1.402216e-01   9.531591e-18   0.000000e+00   8.114644e-19   48
  1.415897e-01   1.135320e-17   1.986821e-09   1.786700e-18   24
  1.429446e-01   1.076656e-17   1.873193e-09   8.010003e-19   72
  1.442869e-01   8.433031e-18   0.000000e+00   4.634303e-19   96
  1.469345e-01   7.795902e-18   0.000000e+00   6.582645e-19   48
  1.482407e-01   8.380975e-18   0.000000e+00   9.023923e-19   48
  1.495354e-01   7.983635e-18   1.986821e-09   8.739595e-19   24
  1.508189e-01   8.742028e-18   0.000000e+00   6.893969e-19   72
  1.533539e-01   7.155270e-18   1.873193e-09   7.457949e-19   72
  1.546058e-01   6.437647e-18   0.000000e+00   4.396395e-19   96
  1.570796e-01   5.839161e-18   0.000000e+00   1.607879e-18   6
  1.583021e-01   6.150210e-18   0.000000e+00   3.356484e-19   96
  1.595151e-01   7.077604e-18   1.986821e-09   5.858157e-19   96
  1.607190e-01   4.559759e-18   0.000000e+00   5.152475e-19   24
  1.619140e-01   8.038828e-18   2.809790e-09   1.003938e-18   48
  1.631002e-01   8.101767e-18   0.000000e+00   5.485660e-19   96
  1.642778e-01   6.149133e-18   0.000000e+00   9.110271e-19   48
  1.666081e-01   6.156762e-18   0.000000e+00   5.666154e-19   36
  1.677611e-01   5.709906e-18   3.441276e-09   4.370374e-19   48
  1.689063e-01   5.590767e-18   3.893359e-09   3.930329e-19   120
  1.700437e-01   5.206789e-18   0.000000e+00   4.494390e-19   56
  1.711736e-01   3.870316e-18   1.986821e-09   4.217450e-19   24
  1.722960e-01   5.302302e-18   0.000000e+00   4.140225e-19   96
  1.734112e-01   5.063394e-18   0.000000e+00   5.577699e-19   48
  1.756204e-01   5.162625e-18   0.000000e+00   7.753655e-19   24
  1.767146e-01   4.813952e-18   0.000000e+00   3.271661e-19   102
  1.778021e-01   7.911687e-18   0.000000e+00   7.547906e-19   48
  1.788829e-01   6.122463e-18   0.000000e+00   5.071348e-19   72
  1.799573e-01   4.904775e-18   0.000000e+00   5.294157e-19   48
  1.810253e-01   5.778266e-18   0.000000e+00   6.722787e-19   48
  1.820871e-01   5.341978e-18   4.495664e-09   3.892304e-19   120
  1.841922e-01   4.038905e-18   2.809790e-09   4.339883e-19   24
  1.852358e-01   4.292529e-18   2.649095e-09   2.496289e-19   144
  1.862735e-01   4.875360e-18   3.178914e-09   3.305799e-19   120
  1.873055e-01   5.424485e-18   2.809790e-09   6.189885e-19   48
  1.893526e-01   4.114858e-18   2.809790e-09   3.878991e-19   48
  1.903679e-01   4.988273e-18   2.809790e-09   3.874750e-19   96
  1.930487e-01   4.493334e-18   4.711199e-04   4.739478e-19   72
  1.943761e-01   5.168185e-18   3.532127e-09   4.087578e-19   108
  1.953653e-01   4.250169e-18   0.000000e+00   3.304591e-19   72
  1.963495e-01   4.949480e-18   0.000000e+00   7.243132e-19   30
  1.973288e-01   3.828705e-18   0.000000e+00   2.102632e-19   168
  1.983033e-01   5.116586e-18   0.000000e+00   5.096495e-19   48
  2.002380e-01   3.795435e-18   0.000000e+00   2.734703e-19   72
  2.011984e-01   4.268118e-18   0.000000e+00   3.512519e-19   96
  2.021542e-01   3.911304e-18   5.298191e-09   4.418015e-19   72
  2.031055e-01   3.351397e-18   0.000000e+00   2.747150e-19   72
  2.047049e-01   4.051924e-18   4.350048e-04   2.878510e-19   104
  2.059331e-01   3.437091e-18   3.746387e-09   1.940415e-19   144
  2.087224e-01   3.633570e-18   6.282881e-09   2.332403e-19   96
  2.096439e-01   3.403905e-18   0.000000e+00   2.312255e-19   96
  2.111095e-01   3.833450e-18   4.475232e-04   2.645378e-19   120
  2.123845e-01   2.982217e-18   0.000000e+00   2.171833e-19   120
  2.132902e-01   3.688360e-18   0.000000e+00   3.319589e-19   72
